"DisplayName";"Description";"Path"
"Windows machines should use the default NTP server";"Setup the 'time.windows.com' as the default NTP Server for all Windows machines to ensure logs across all systems have system clocks that are all in sync. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/ACAT_ InternetTimeDefaultNtpServer_AINE.json"
"Windows machines should configure Windows Defender to update protection signatures within one day";"To provide adequate protection against newly released malware, Windows Defender protection signatures need to be updated regularly to account for newly released malware. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/ACAT_ UpdateDefenderSignatureDaily_AINE.json"
"Windows machines should enable Windows Defender Real-time protection";"Windows machines should enable the Real-time protection in the Windows Defender to provide adequate protection against newly released malware. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/ACAT_WindowsDefenderRealtimeProtection_AINE.json"
"Windows machines should schedule Windows Defender to perform a scheduled scan every day";"Windows machines should schedule Windows Defender to perform a scheduled scan every day to ensure that malware is quickly identified to minimize the effect this may have to the environment. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/ACAT_WindowsDefenderScanScheduleDaily_AINE.json"
"Private endpoints for Guest Configuration assignments should be enabled";"Private endpoint connections enforce secure communication by enabling private connectivity to Guest Configuration for virtual machines. Virtual machines will be non-compliant unless they have the tag, 'EnablePrivateNetworkGC'. This tag enforces secure communication through private connectivity to Guest Configuration for Virtual Machines. Private connectivity limits access to traffic coming only from known networks and prevents access from all other IP addresses, including within Azure.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/Azure_PrivateLink_Deny.json"
"[Preview]: Configure Windows Server to disable local users.";"Creates a Guest Configuration assignment to configure disabling local users on Windows Server. This ensures that Windows Servers can only be accessed by AAD (Azure Active Directory) account or a list of explicitly allowed users by this policy, improving overall security posture.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AADDisableLocalAuth_Deploy.json"
"Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities";"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration but do not have any managed identities. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AddSystemIdentityWhenNone_Prerequisite.json"
"Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity";"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration and have at least one user-assigned identity but do not have a system-assigned managed identity. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AddSystemIdentityWhenUser_Prerequisite.json"
"[Preview]: Add user-assigned managed identity to enable Guest Configuration assignments on virtual machines";"This policy adds a user-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration. A user-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AddUserIdentity_Prerequisite.json"
"Windows machines should meet requirements for 'Administrative Templates - Control Panel'";"Windows machines should have the specified Group Policy settings in the category 'Administrative Templates - Control Panel' for input personalization and prevention of enabling lock screens. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AdministrativeTemplatesControlPanel_AINE.json"
"Windows machines should meet requirements for 'Administrative Templates - MSS (Legacy)'";"Windows machines should have the specified Group Policy settings in the category 'Administrative Templates - MSS (Legacy)' for automatic logon, screen saver, network behavior, safe DLL, and event log. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AdministrativeTemplatesMSSLegacy_AINE.json"
"Windows machines should meet requirements for 'Administrative Templates - Network'";"Windows machines should have the specified Group Policy settings in the category 'Administrative Templates - Network' for guest logons, simultaneous connections, network bridge, ICS, and multicast name resolution. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AdministrativeTemplatesNetwork_AINE.json"
"Windows machines should meet requirements for 'Administrative Templates - System'";"Windows machines should have the specified Group Policy settings in the category 'Administrative Templates - System' for settings that control the administrative experience and Remote Assistance. This policy requires that the Guest Configuration prerequisites have been deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AdministrativeTemplatesSystem_AINE.json"
"Audit Windows machines that have extra accounts in the Administrators group";"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the local Administrators group contains members that are not listed in the policy parameter.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AdministratorsGroupMembers_AINE.json"
"Audit Windows machines that have the specified members in the Administrators group";"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the local Administrators group contains one or more of the members listed in the policy parameter.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Guest Configuration/GuestConfiguration_AdministratorsGroupMembersToExclude_AINE.json"
