"DisplayName";"Description";"Path"
"[Preview]: Configure Azure Key Vaults to use private DNS zones";"Use private DNS zones to override the DNS resolution for a private endpoint. A private DNS zone links to your virtual network to resolve to key vault. Learn more at: https://aka.ms/akvprivatelink.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/AzureKeyVault_AutoConfigure_PrivateDNSZone_DINE.json"
"[Preview]: Configure Azure Key Vaults with private endpoints";"Private endpoints connect your virtual networks to Azure services without a public IP address at the source or destination. By mapping private endpoints to key vault, you can reduce data leakage risks. Learn more about private links at: https://aka.ms/akvprivatelink.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/AzureKeyVault_Should_Use_PrivateEndpoint_DINE.json"
"Configure key vaults to enable firewall";"Enable the key vault firewall so that the key vault is not accessible by default to any public IPs. You can then configure specific IP ranges to limit access to those networks. Learn more at: https://docs.microsoft.com/azure/key-vault/general/network-security";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/AzureKeyVaultFirewallEnabled_Modify.json"
"Certificates should use allowed key types";"Manage your organizational compliance requirements by restricting the key types allowed for certificates.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_AllowedKeyTypes.json"
"Certificates using elliptic curve cryptography should have allowed curve names";"Manage the allowed elliptic curve names for ECC Certificates stored in key vault. More information can be found at https://aka.ms/akvpolicy.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_EC_AllowedCurveNames.json"
"[Preview]: Certificates should not expire within the specified number of days";"Manage certificates that will expire within a specified number of days to ensure your organization has sufficient time to rotate the certificate prior to expiration.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_Expiry_ByDays.json"
"Certificates should be issued by the specified non-integrated certificate authority";"Manage your organizational compliance requirements by specifying the custom or internal certificate authorities that can issue certificates in your key vault.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_Issuers_CustomCAs.json"
"Certificates should be issued by the specified integrated certificate authority";"Manage your organizational compliance requirements by specifying the Azure integrated certificate authorities that can issue certificates in your key vault such as Digicert or GlobalSign.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_Issuers_SupportedCAs.json"
"Certificates should have the specified lifetime action triggers";"Manage your organizational compliance requirements by specifying whether a certificate lifetime action is triggered at a specific percentage of its lifetime or at a certain number of days prior to its expiration.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_LifetimeAction.json"
"Certificates using RSA cryptography should have the specified minimum key size";"Manage your organizational compliance requirements by specifying a minimum key size for RSA certificates stored in your key vault.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_RSA_MinimumKeySize.json"
"[Preview]: Certificates should have the specified maximum validity period";"Manage your organizational compliance requirements by specifying the maximum amount of time that a certificate can be valid within your key vault.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Certificates_ValidityPeriod.json"
"Deploy - Configure diagnostic settings for Azure Key Vault to Log Analytics workspace";"Deploys the diagnostic settings for Azure Key Vault to stream resource logs to a Log Analytics workspace when any Key Vault which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/DataConnectorsAzureKeyVault_PolicyAssignment.json"
"Keys should not be active for longer than the specified number of days";"Specify the number of days that a key should be active. Keys that are used for an extended period of time increase the probability that an attacker could compromise the key. As a good security practice, make sure that your keys have not been active longer than two years.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_ActivePeriod.json"
"Keys should be the specified cryptographic type RSA or EC";"Some applications require the use of keys backed by a specific cryptographic type. Enforce a particular cryptographic key type, RSA or EC, in your environment.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_AllowedKeyTypes.json"
"Keys using elliptic curve cryptography should have the specified curve names";"Keys backed by elliptic curve cryptography can have different curve names. Some applications are only compatible with specific elliptic curve keys. Enforce the types of elliptic curve keys that are allowed to be created in your environment.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_EC_AllowedCurveNames.json"
"Key Vault keys should have an expiration date";"Cryptographic keys should have a defined expiration date and not be permanent. Keys that are valid forever provide a potential attacker with more time to compromise the key. It is a recommended security practice to set expiration dates on cryptographic keys.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_ExpirationSet.json"
"Keys should have more than the specified number of days before expiration";"If a key is too close to expiration, an organizational delay to rotate the key may result in an outage. Keys should be rotated at a specified number of days prior to expiration to provide sufficient time to react to a failure.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_Expiry_ByDays.json"
"Keys should be backed by a hardware security module (HSM)";"An HSM is a hardware security module that stores keys. An HSM provides a physical layer of protection for cryptographic keys. The cryptographic key cannot leave a physical HSM which provides a greater level of security than a software key.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_HSMBacked.json"
"Keys using RSA cryptography should have a specified minimum key size";"Set the minimum allowed key size for use with your key vaults. Use of RSA keys with small key sizes is not a secure practice and doesn't meet many industry certification requirements.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_RSA_MinimumKeySize.json"
"Keys should have the specified maximum validity period";"Manage your organizational compliance requirements by specifying the maximum amount of time in days that a key can be valid within your key vault.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Keys_ValidityPeriod.json"
"Deploy Diagnostic Settings for Key Vault to Event Hub";"Deploys the diagnostic settings for Key Vault to stream to a regional Event Hub when any Key Vault which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/KeyVault_DiagnosticLog_Deploy.json"
"Deploy - Configure diagnostic settings to an Event Hub to be enabled on Azure Key Vault Managed HSM";"Deploys the diagnostic settings for Azure Key Vault Managed HSM to stream to a regional Event Hub when any Azure Key Vault Managed HSM which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_DiagnosticLog_Deploy.json"
"[Preview]: Configure Azure Key Vault Managed HSM to disable public network access";"Disable public network access for your Azure Key Vault Managed HSM so that it's not accessible over the public internet. This can reduce data leakage risks. Learn more at: https://docs.microsoft.com/azure/key-vault/managed-hsm/private-link#allow-trusted-services-to-access-managed-hsm.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_FirewallEnabled_Modify.json"
"[Preview]: Azure Key Vault Managed HSM keys using elliptic curve cryptography should have the specified curve names";"Keys backed by elliptic curve cryptography can have different curve names. Some applications are only compatible with specific elliptic curve keys. Enforce the types of elliptic curve keys that are allowed to be created in your environment.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_Keys_EC_AllowedCurveNames.json"
"[Preview]: Azure Key Vault Managed HSM keys should have an expiration date";"Cryptographic keys should have a defined expiration date and not be permanent. Keys that are valid forever provide a potential attacker with more time to compromise the key. It is a recommended security practice to set expiration dates on cryptographic keys.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_Keys_ExpirationSet.json"
"[Preview]: Azure Key Vault Managed HSM Keys should have more than the specified number of days before expiration";"If a key is too close to expiration, an organizational delay to rotate the key may result in an outage. Keys should be rotated at a specified number of days prior to expiration to provide sufficient time to react to a failure.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_Keys_Expiry_ByDays.json"
"[Preview]: Azure Key Vault Managed HSM keys using RSA cryptography should have a specified minimum key size";"Set the minimum allowed key size for use with your key vaults. Use of RSA keys with small key sizes is not a secure practice and doesn't meet many industry certification requirements.
";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_Keys_RSA_MinimumKeySize.json"
"[Preview]: Configure Azure Key Vault Managed HSM with private endpoints";"Private endpoints connect your virtual networks to Azure services without a public IP address at the source or destination. By mapping private endpoints to Azure Key Vault Managed HSM, you can reduce data leakage risks. Learn more at: https://docs.microsoft.com/azure/key-vault/managed-hsm/private-link.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/ManagedHsm_Should_Use_PrivateEndpoint_DINE.json"
"Secrets should not be active for longer than the specified number of days";"If your secrets were created with an activation date set in the future, you must ensure that your secrets have not been active for longer than the specified duration.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Secrets_ActivePeriod.json"
"Secrets should have content type set";"A content type tag helps identify whether a secret is a password, connection string, etc. Different secrets have different rotation requirements. Content type tag should be set on secrets.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Secrets_ContentTypeSet.json"
"Key Vault secrets should have an expiration date";"Secrets should have a defined expiration date and not be permanent. Secrets that are valid forever provide a potential attacker with more time to compromise them. It is a recommended security practice to set expiration dates on secrets.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Secrets_ExpirationSet.json"
"Secrets should have more than the specified number of days before expiration";"If a secret is too close to expiration, an organizational delay to rotate the secret may result in an outage. Secrets should be rotated at a specified number of days prior to expiration to provide sufficient time to react to a failure.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Secrets_Expiry_ByDays.json"
"Secrets should have the specified maximum validity period";"Manage your organizational compliance requirements by specifying the maximum amount of time in days that a secret can be valid within your key vault.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Key Vault/Secrets_ValidityPeriod.json"
