"DisplayName";"Description";"Path"
"Deny access policies with certificate authorities roles";"Deny access policies with certificate authorities roles";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/Deny access policies with certificate authorities roles/azurepolicy.json"
"Deny deployment with access to specific services (VM, ARM, ADE)";"Deny deployment with access to specific services (VM, ARM, ADE)";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/Deny deployment with access to specific services (VM, ARM, ADE)/azurepolicy.json"
"Deny deployment with Azure RBAC enabled";"Deny deployment with Azure RBAC enabled";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/Deny deployment with Azure RBAC enabled/azurepolicy.json"
"Key vault - Firewall Settings DENY";"This Azure Policy denies the deployment of an Azure Key Vault when the 'Allow access from' setting is not set to 'Private endpoints and selected networks' or when the Firewall does contain any IP addresses outside of the approved ones.";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/deny-key-vault-firewall-settings/azurepolicy.json"
"Key Vault - SKU Setting DENY";"This Azure Policy denies the creation of an Azure Key Vault when the 'SKU' setting is not included in the 'allowedSKUSetting' parameter.";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/deny-key-vault-sku-setting/azurepolicy.json"
"Key Vault - Diagnostic Settings DINE";"This Azure Policy creates a deployment to send all logs and metrics to a specified Log Analytics Workspace";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/deploy-key-vault-diagnostic-settings/azurepolicy.json"
"deploy-soft-delete-and-purge-protection";"deploy-soft-delete-and-purge-protection";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/deploy-soft-delete-and-purge-protection/azurepolicy.json"
"Enforce key vault firewall blocking public access";"Enforce key vault firewall blocking public access";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/Enforce key vault firewall blocking public access/azurepolicy.json"
"Enforce key vault premium SKU";"Enforce key vault premium SKU";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/Enforce key vault premium SKU/azurepolicy.json"
"Prevent key vault access to trusted services";"Prevent key vault access to trusted services";"https://github.com/Azure/Community-Policy/tree/master/Policies/KeyVault/Prevent key vault access to trusted services/azurepolicy.json"
