"DisplayName";"Description";"Path"
"Subscription should configure the Azure Firewall Premium to provide additional layer of protection";"Azure Firewall Premium provides advanced threat protection that meets the needs of highly sensitive and regulated environments. Deploy Azure Firewall Premium to your subscription and make sure all the service traffic are protected by Azure Firewall Premium. To learn more about Azure Firewall Premium, visit https://aka.ms/fw-premium";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_Firewall_FirewallPremiumShouldExist_Audit.json"
"Bypass list of Intrusion Detection and Prevention System (IDPS) should be empty in Firewall Policy Premium";"Intrusion Detection and Prevention System (IDPS) Bypass List allows you to not filter traffic to any of the IP addresses, ranges, and subnets specified in the bypass list. However, enabling IDPS is recommanded for all traffic flows to better identify known threats. To learn more about the Intrusion Detection and Prevention System (IDPS) signatures with Azure Firewall Premium, visit https://aka.ms/fw-idps-signature";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_FirewallPolicy_EmptyIDPSBypassList_Audit.json"
"Firewall Policy Premium should enable all IDPS signature rules to monitor all inbound and outbound traffic flows";"Enabling all Intrusion Detection and Prevention System (IDPS) signature rules is recommanded to better identify known threats in the traffic flows. To learn more about the Intrusion Detection and Prevention System (IDPS) signatures with Azure Firewall Premium, visit https://aka.ms/fw-idps-signature";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_FirewallPolicy_EnableAllIDPSSignatureRules_Audit.json"
"Firewall Policy Premium should enable the Intrusion Detection and Prevention System (IDPS)";"Enabling the Intrusion Detection and Prevention System (IDPS) allows you to monitor your network for malicious activity, log information about this activity, report it, and optionally attempt to block it. To learn more about the Intrusion Detection and Prevention System (IDPS) with Azure Firewall Premium, visit https://aka.ms/fw-idps";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_FirewallPolicy_EnableIDPS_Audit.json"
"Azure Firewall Premium should configure a valid intermediate certificate to enable TLS inspection";"Configure a valid intermediate certificate and enable Azure Firewall Premium TLS inspection to detect, alert, and mitigate malicious activity in HTTPS. To learn more about TLS inspection with Azure Firewall, visit https://aka.ms/fw-tlsinspect";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_FirewallPolicy_EnableTlsInspection_Audit.json"
"Azure firewall policy should enable TLS inspection within application rules";"Enabling TLS inspection is recommended for all application rules to detect, alert, and mitigate malicious activity in HTTPS. To learn more about TLS inspection with Azure Firewall, visit https://aka.ms/fw-tlsinspect";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_FirewallPolicy_EnbaleTlsForAllAppRules_Audit.json"
"Web Application Firewall (WAF) should enable all firewall rules for Application Gateway";"Enabling all Web Application Firewall (WAF) rules strengthens your application security and protects your web applications against common vulnerabilities. To learn more about Web Application Firewall (WAF) with Application Gateway, visit https://aka.ms/waf-ag";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ACAT_WAF_AppGatewayAllRulesEnabled_Audit.json"
"Virtual machines should be connected to an approved virtual network";"This policy audits any virtual machine connected to a virtual network that is not approved.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ApprovedVirtualNetwork_Audit.json"
"[Preview]: All Internet traffic should be routed via your deployed Azure Firewall";"Azure Security Center has identified that some of your subnets aren't protected with a next generation firewall. Protect your subnets from potential threats by restricting access to them with Azure Firewall or a supported next generation firewall";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/ASC_All_Internet_traffic_should_be_routed_via_Azure_Firewall.json"
"Configure diagnostic settings for Azure Network Security Groups to Log Analytics workspace";"Deploy diagnostic settings to Azure Network Security Groups to stream resource logs to a Log Analytics workspace.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/DataConnectorsAzureNSG_Deploy.json"
"Network interfaces should disable IP forwarding";"This policy denies the network interfaces which enabled IP forwarding. The setting of IP forwarding disables Azure's check of the source and destination for a network interface. This should be reviewed by the network security team.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/NetworkIPForwardingNic_Deny.json"
"Network interfaces should not have public IPs";"This policy denies the network interfaces which are configured with any public IP. Public IP addresses allow internet resources to communicate inbound to Azure resources, and Azure resources to communicate outbound to the internet. This should be reviewed by the network security team.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/NetworkPublicIPNic_Deny.json"
"Flow logs should be configured for every network security group";"Audit for network security groups to verify if flow logs are configured. Enabling flow logs allows to log information about IP traffic flowing through network security group. It can be used for optimizing network flows, monitoring throughput, verifying compliance, detecting intrusions and more.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Network/NetworkSecurityGroup_FlowLog_Audit.json"
