"DisplayName";"Description";"Path"
"[Preview]: Configure Arc machines to create the default Microsoft Defender for Cloud pipeline using Azure Monitor Agent";"Configure Arc machines to create the default Microsoft Defender for Cloud pipeline using Azure Monitor Agent. Microsoft Defender for Cloud collects events from the agent and uses them to provide security alerts and tailored hardening tasks (recommendations). Create a resource group, a Data Collection Rule and Log Analytics workspace in the same region as the machine to store audit records. Target virtual machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_DefaultPipeline_Arc_Deploy.json"
"[Preview]: Configure Association to link Arc machines to default Microsoft Defender for Cloud Data Collection Rule";"Configure Arc machines to automatically create an association with the default data collection rule for Microsoft Defender for Cloud. Deleting this association will break the detection of security vulnerabilities for this Arc machine. Target Arc machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_DefaultPipeline_DCRA_Arc_Deploy.json"
"[Preview]: Configure Association to link virtual machines to default Microsoft Defender for Cloud Data Collection Rule";"Configure machines to automatically create an association with the default data collection rule for Microsoft Defender for Cloud. Deleting this association will break the detection of security vulnerabilities for this virtual machine. Target virtual machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_DefaultPipeline_DCRA_Deploy.json"
"[Preview]: Configure virtual machines to create the default Microsoft Defender for Cloud pipeline using Azure Monitor Agent";"Configure virtual machines to create the default Microsoft Defender for Cloud pipeline using Azure Monitor Agent. Microsoft Defender for Cloud collects events from the agent and uses them to provide security alerts and tailored hardening tasks (recommendations). Create a resource group, a Data Collection Rule and Log Analytics workspace in the same region as the machine to store audit records. Target virtual machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_DefaultPipeline_Deploy.json"
"[Preview]: Configure Arc machines to create the Microsoft Defender for Cloud user-defined pipeline using Azure Monitor Agent";"Configure Arc machines to create the Microsoft Defender for Cloud user-defined pipeline using Azure Monitor Agent. Microsoft Defender for Cloud collects events from the agent and uses them to provide security alerts and tailored hardening tasks (recommendations). Use the user-provided Log Analytics workspace to store audit records. Create a resource group and a Data Collection Rule in the same region as the user-provided Log Analytics workspace. Target Arc machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_UserWorkspacePipeline_Arc_Deploy.json"
"[Preview]: Configure Association to link Arc machines to user-defined Microsoft Defender for Cloud Data Collection Rule";"Configure Arc machines to automatically create an association with the user-defined data collection rule for Microsoft Defender for Cloud. Deleting this association will break the detection of security vulnerabilities for this Arc machine. Target Arc machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_UserWorkspacePipeline_DCRA_Arc_Deploy.json"
"[Preview]: Configure Association to link virtual machines to user-defined Microsoft Defender for Cloud Data Collection Rule";"Configure machines to automatically create an association with the user-defined data collection rule for Microsoft Defender for Cloud. Deleting this association will break the detection of security vulnerabilities for this virtual machine. Target virtual machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_UserWorkspacePipeline_DCRA_Deploy.json"
"[Preview]: Configure machines to create the Microsoft Defender for Cloud user-defined pipeline using Azure Monitor Agent";"Configure machines to create the Microsoft Defender for Cloud user-defined pipeline using Azure Monitor Agent. Microsoft Defender for Cloud collects events from the agent and uses them to provide security alerts and tailored hardening tasks (recommendations). Use the user-provided Log Analytics workspace to store audit records. Creates a resource group and a Data Collection Rule in the same region as the user-provided Log Analytics workspace. Target virtual machines must be in a supported location.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_AMA_UserWorkspacePipeline_Deploy.json"
"Auto provisioning of the Log Analytics agent should be enabled on your subscription";"To monitor for security vulnerabilities and threats, Azure Security Center collects data from your Azure virtual machines. Data is collected by the Log Analytics agent, formerly known as the Microsoft Monitoring Agent (MMA), which reads various security-related configurations and event logs from the machine and copies the data to your Log Analytics workspace for analysis. We recommend enabling auto provisioning to automatically deploy the agent to all supported Azure VMs and any new ones that are created.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_Automatic_provisioning_log_analytics_monitoring_agent.json"
"Configure Azure Defender for App Service to be enabled";"Azure Defender for App Service leverages the scale of the cloud, and the visibility that Azure has as a cloud provider, to monitor for common web app attacks.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Security Center/ASC_Azure_Defender_AppService_Deploy.json"
