"DisplayName";"Description";"Path"
"Configure diagnostic settings for Storage Accounts to Log Analytics workspace";"Deploys the diagnostic settings for Storage accounts to stream resource logs to a Log Analytics workspace when any storage accounts which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/AccountStorageLogsToWorkspace_DINE.json"
"Azure NetApp Files SMB Volumes should use SMB3 encryption";"Disallow the creation of SMB Volumes without SMB3 encryption to ensure data integrity and data privacy.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/ANF_SMBVolumesShouldUseSMB3Encryption.json"
"Azure NetApp Files Volumes should not use NFSv3 protocol type";"Disallow the use of NFSv3 protocol type to prevent unsecure access to volumes. NFSv4.1 with Kerberos protocol should be used to access NFS volumes to ensure data integrity and encryption.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/ANF_VolumesShouldNotUseNFSv3.json"
"Azure NetApp Files Volumes of type NFSv4.1 should use Kerberos data encryption";"Only allow the use of Kerberos privacy (5p) security mode to ensure data is encrypted.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/ANF_VolumesShouldUseKerberosEncryption.json"
"Azure NetApp Files Volumes of type NFSv4.1 should use Kerberos data integrity or data privacy";"Ensure that at least either Kerberos integrity (krb5i) or Kerberos privacy (krb5p) is selected to ensure data integrity and data privacy.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/ANF_VolumesShouldUseKerberosIntegrityPrivacy.json"
"Configure diagnostic settings for Blob Services to Log Analytics workspace";"Deploys the diagnostic settings for Blob Services to stream resource logs to a Log Analytics workspace when any blob Service which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/BlobServicesLogsToWorkspace_DINE.json"
"Configure diagnostic settings for File Services to Log Analytics workspace";"Deploys the diagnostic settings for File Services to stream resource logs to a Log Analytics workspace when any file Service which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/FileServicesLogsToWorkspace_DINE.json"
"Configure diagnostic settings for Queue Services to Log Analytics workspace";"Deploys the diagnostic settings for Queue Services to stream resource logs to a Log Analytics workspace when any queue Service which is missing this diagnostic settings is created or updated.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/QueueServicesLogsToWorkspace_DINE.json"
"Configure your Storage account public access to be disallowed";"Anonymous public read access to containers and blobs in Azure Storage is a convenient way to share data but might present security risks. To prevent data breaches caused by undesired anonymous access, Microsoft recommends preventing public access to a storage account unless your scenario requires it.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageAccountDisablePublicBlobAccess_Modify.json"
"Storage account keys should not be expired";"Ensure the user storage account keys are not expired when key expiration policy is set, for improving security of account keys by taking action when the keys are expired.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageAccountKeysExpired_Restrict.json"
"Configure Storage account to use a private link connection";"Private endpoints connect your virtual network to Azure services without a public IP address at the source or destination. By mapping private endpoints to your storage account, you can reduce data leakage risks. Learn more about private links at - https://aka.ms/azureprivatelinkoverview";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageAccountPrivateEndpointEnabled_DeployIfNotExists.json"
"Storage accounts should have shared access signature (SAS) policies configured";"Ensure storage accounts have shared access signature (SAS) expiration policy enabled. Users use a SAS to delegate access to resources in Azure Storage account. And SAS expiration policy recommend upper expiration limit when a user creates a SAS token.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageAccountSasPolicy_Restrict.json"
"Configure secure transfer of data on a storage account";"Secure transfer is an option that forces storage account to accept requests only from secure connections (HTTPS). Use of HTTPS ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageAccountSecureTransfer_Modify.json"
"Deploy Advanced Threat Protection on storage accounts";"This policy enables Advanced Threat Protection on storage accounts.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageAdvancedThreatProtection_Deploy.json"
"HPC Cache accounts should use customer-managed key for encryption";"Manage encryption at rest of Azure HPC Cache with customer-managed keys. By default, customer data is encrypted with service-managed keys, but customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageCache_CMKEnabled.json"
"Configure a private DNS Zone ID for blob groupID";"Configure private DNS zone group to override the DNS resolution for a blob groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_Blob.json"
"Configure a private DNS Zone ID for blob_secondary groupID";"Configure private DNS zone group to override the DNS resolution for a blob_secondary groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_BlobSecondary.json"
"Configure a private DNS Zone ID for dfs groupID";"Configure private DNS zone group to override the DNS resolution for a dfs groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_DFS.json"
"Configure a private DNS Zone ID for dfs_secondary groupID";"Configure private DNS zone group to override the DNS resolution for a dfs_secondary groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_DFSSecondary.json"
"Configure a private DNS Zone ID for file groupID";"Configure private DNS zone group to override the DNS resolution for a file groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_File.json"
"Configure a private DNS Zone ID for queue groupID";"Configure private DNS zone group to override the DNS resolution for a queue groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_Queue.json"
"Configure a private DNS Zone ID for queue_secondary groupID";"Configure private DNS zone group to override the DNS resolution for a queue_secondary groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_QueueSecondary.json"
"Configure a private DNS Zone ID for table groupID";"Configure private DNS zone group to override the DNS resolution for a table groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_Table.json"
"Configure a private DNS Zone ID for table_secondary groupID";"Configure private DNS zone group to override the DNS resolution for a table_secondary groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_TableSecondary.json"
"Configure a private DNS Zone ID for web groupID";"Configure private DNS zone group to override the DNS resolution for a web groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_Web.json"
"Configure a private DNS Zone ID for web_secondary groupID";"Configure private DNS zone group to override the DNS resolution for a web_secondary groupID private endpoint.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePrivateDnsZoneGroup_WebSecondary.json"
"Configure storage accounts to disable public network access";"To improve the security of Storage Accounts, ensure that they aren't exposed to the public internet and can only be accessed from a private endpoint. Disable the public network access property as described in https://aka.ms/storageaccountpublicnetworkaccess. This option disables access from any public address space outside the Azure IP range, and denies all logins that match IP or virtual network-based firewall rules. This reduces data leakage risks.";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StoragePublicNetworkAccess_Modify.json"
"Modify - Configure Azure File Sync to disable public network access";"The Azure File Sync's internet-accessible public endpoint are disabled by your organizational policy. You may still access the Storage Sync Service via its private endpoint(s).";"https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/Storage/StorageSync_IncomingTrafficPolicy_Modify.json"
